"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Content Tags","Lifetime Post Total Impressions","Lifetime Post Paid Impressions","Lifetime Post Organic Impressions","Lifetime Total Video Views","Lifetime Paid Video Views","Lifetime Organic Video Views","Lifetime Total 30-Second Views","Lifetime Paid 30-Second Views","Lifetime Organic 30-Second Views","Lifetime Total Views to 95%","Lifetime Paid views to 95%","Lifetime Organic views to 95%","Lifetime Post Total Reach","Lifetime Unique Video Views","Lifetime Unique 30-Second Views","Lifetime Unique Views to 95%","Lifetime Auto-Played Video Views","Lifetime Clicked-to-Play Video Views","Lifetime Auto-Played 30-Second Views","Lifetime Clicked-to-Play 30-Second Views","Lifetime Auto-Played views to 95%","Lifetime Clicked-to-Play views to 95%","Lifetime Post Consumptions by type - other clicks","Lifetime Post Consumptions by type - video play","Lifetime Post consumers by type - other clicks","Lifetime Post consumers by type - video play","Lifetime Post Stories by action type - like","Lifetime Talking About This (Post) by action type - like"
,,,,,,,,,"Lifetime: The number of impressions of your Page post. (Total Count)","Lifetime: The number of impressions of your Page post in an Ad or Sponsored Story. (Total Count)","Lifetime: The number of impressions of your post in News Feed or ticker or on your Page's Timeline. (Total Count)","Lifetime: Total number of times your video was viewed for more than 3 seconds. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Total number of times your video was viewed for 30 seconds or viewed to the end, whichever came first. (Total Count)","Lifetime: Number of times your video was viewed for 30 seconds or viewed to the end, whichever came first, after a paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for 30 seconds or viewed to the end, whichever came first, without a paid promotion. (Total Count)","Lifetime: Total number of times your video was viewed to 95% of its length. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: The total number of people your Page post was served to. (Unique Users)","Lifetime: Number of unique people who viewed your video for more than 3 seconds. (Unique Users)","Lifetime: Number of unique people who viewed your video for 30 seconds or to the end, whichever came first. (Unique Users)","Lifetime: Number of unique people who viewed your video to 95% of its length. (Unique Users)","Lifetime: Number of times your video started automatically playing and people viewed it for more than 3 seconds. (Total Count)","Lifetime: Number of times people clicked to play your video and viewed it more than 3 seconds. (Total Count)","Lifetime: Number of times your video started automatically playing and people viewed it for 30 seconds or to the end, whichever came first. (Total Count)","Lifetime: Number of times people clicked to play your video and viewed it for 30 seconds or to the end, whichever came first. (Total Count)","Lifetime: Number of times your video started automatically playing and people viewed it to 95% of its length. (Total Count)","Lifetime: Number of times people clicked to play your video and viewed it to 95% of its length. (Total Count)","Lifetime: The number of clicks anywhere in your post, by type. (Total Count)",,"Lifetime: The number of people who clicked anywhere in your post, by type. (Unique Users)",,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)"
518995791497187_745335088863255,https://www.facebook.com/VisualizationStudio/videos/745335088863255/,"Obscurus wins Best Public Magnet at C-Awards.",Video,,,"04/09/2014 02:34:35 PM"," "," ",163,0,163,,,,,,,,,,73,,,,,,,,,,12,8,8,6,2,2
