"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Talking About This (Post) by action type - comment","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - other","Lifetime Talking About This (Post) by action type - share","Lifetime Post Stories by action type - comment","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - other","Lifetime Post Stories by action type - share","Lifetime Post Consumers","Lifetime Post Consumptions","Lifetime Post consumers by type - link clicks","Lifetime Post consumers by type - other clicks","Lifetime Post consumers by type - photo view","Lifetime Post consumers by type - video play","Lifetime Post Consumptions by type - link clicks","Lifetime Post Consumptions by type - other clicks","Lifetime Post Consumptions by type - photo view","Lifetime Post Consumptions by type - video play","Lifetime Negative feedback","Lifetime Negative Feedback from Users","Lifetime Negative feedback - hide_all_clicks","Lifetime Negative feedback - hide_clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Average time video viewed","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Video length","Lifetime Percentage of viewers at each interval (video post) - 0","Lifetime Percentage of viewers at each interval (video post) - 1","Lifetime Percentage of viewers at each interval (video post) - 2","Lifetime Percentage of viewers at each interval (video post) - 3","Lifetime Percentage of viewers at each interval (video post) - 4","Lifetime Percentage of viewers at each interval (video post) - 5","Lifetime Percentage of viewers at each interval (video post) - 6","Lifetime Percentage of viewers at each interval (video post) - 7","Lifetime Percentage of viewers at each interval (video post) - 8","Lifetime Percentage of viewers at each interval (video post) - 9","Lifetime Percentage of viewers at each interval (video post) - 10","Lifetime Percentage of viewers at each interval (video post) - 11","Lifetime Percentage of viewers at each interval (video post) - 12","Lifetime Percentage of viewers at each interval (video post) - 13","Lifetime Percentage of viewers at each interval (video post) - 14","Lifetime Percentage of viewers at each interval (video post) - 15","Lifetime Percentage of viewers at each interval (video post) - 16","Lifetime Percentage of viewers at each interval (video post) - 17","Lifetime Percentage of viewers at each interval (video post) - 18","Lifetime Percentage of viewers at each interval (video post) - 19","Lifetime Percentage of viewers at each interval (video post) - 20","Lifetime Percentage of viewers at each interval (video post) - 21","Lifetime Percentage of viewers at each interval (video post) - 22","Lifetime Percentage of viewers at each interval (video post) - 23","Lifetime Percentage of viewers at each interval (video post) - 24","Lifetime Percentage of viewers at each interval (video post) - 25","Lifetime Percentage of viewers at each interval (video post) - 26","Lifetime Percentage of viewers at each interval (video post) - 27","Lifetime Percentage of viewers at each interval (video post) - 28","Lifetime Percentage of viewers at each interval (video post) - 29","Lifetime Percentage of viewers at each interval (video post) - 30","Lifetime Percentage of viewers at each interval (video post) - 31","Lifetime Percentage of viewers at each interval (video post) - 32","Lifetime Percentage of viewers at each interval (video post) - 33","Lifetime Percentage of viewers at each interval (video post) - 34","Lifetime Percentage of viewers at each interval (video post) - 35","Lifetime Percentage of viewers at each interval (video post) - 36","Lifetime Percentage of viewers at each interval (video post) - 37","Lifetime Percentage of viewers at each interval (video post) - 38","Lifetime Percentage of viewers at each interval (video post) - 39","Lifetime Percentage of viewers at each interval (video post) - 40","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views"
,,,,,,,,"Lifetime: The total number of people your Page post was served to. (Unique Users)","Lifetime: The number of people who saw your Page post in news feed or ticker, or on your Page's timeline. (Unique Users)","Lifetime: The number of people your advertised Page post was served to. (Unique Users)","Lifetime: The number of impressions of your Page post. (Total Count)","Lifetime: The number of impressions of your post in News Feed or ticker or on your Page's Timeline. (Total Count)","Lifetime: The number of impressions of your Page post in an Ad or Sponsored Story. (Total Count)","Lifetime: The number of people who clicked anywhere in your posts. (Unique Users)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,,"Lifetime: The number of people who clicked anywhere in your post. (Unique Users)","Lifetime: The number of clicks anywhere in your post. (Total Count)","Lifetime: The number of people who clicked anywhere in your post, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in your post, by type. (Total Count)",,,,"Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,"Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Average time video viewed (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Length of a video post (Total Count)","Lifetime: Views of your video at each moment as a percentage of all views, including views shorter than 3 seconds. (video post) (Total Count)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)"
518995791497187_922831414446954,https://www.facebook.com/VisualizationStudio/posts/922831414446954,"We are at the top of the front page describing the computer science program at KTH! Cool...",Link,,,"02/19/2015 11:45:22 PM"," ",371,371,0,1116,1116,0,56,3,31,,2,4,37,,3,29,38,24,8,,,28,10,,,1,1,1,,1,,1006,305,0,0,42,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
518995791497187_922500554480040,https://www.facebook.com/VisualizationStudio/posts/922500554480040,"Visualization Studio VIC shared Crosstalks's photo.",Photo,,,"02/19/2015 12:20:28 PM"," ",241,241,0,696,696,0,26,,9,,,,11,,,20,28,,17,4,,,23,5,,0,0,,,,,610,177,0,0,25,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
518995791497187_922245971172165,https://www.facebook.com/VisualizationStudio/videos/922245971172165/,"&quot;The future is too important to be left to men.&quot;

https://www.kth.se/utbildning/giants",Video,,,"02/19/2015 03:32:18 AM"," ",1403,1403,0,3683,3683,0,133,2,38,,5,3,41,,5,110,217,9,75,,53,10,138,,69,0,0,,,,,1366,405,0,0,69,29932,70,63,0,0,88188,1,0.5997,0.4334,0.3605,0.3045,0.2587,0.229,0.2087,0.1959,0.1942,0.1841,0.1756,0.1705,0.1603,0.1544,0.145,0.1357,0.1281,0.1221,0.1213,0.1179,0.1128,0.1128,0.1077,0.1018,0.0992,0.095,0.0925,0.0899,0.0882,0.0874,0.0814,0.0797,0.0772,0.0755,0.0721,0.0729,0.0704,0.0636,0.0585,0.0577,565,419,0,0
518995791497187_921705234559572,https://www.facebook.com/VisualizationStudio/videos/921705234559572/,"Your formal invitation to explore the Visualization Studio VIC from director Björn Thuresson. What are you waiting for!?",Video,,,"02/17/2015 11:47:50 PM"," ",6716,6716,0,18139,18139,0,566,9,72,,19,9,84,,54,535,907,,360,,283,,571,,336,1,1,,1,,1,2170,392,0,0,122,41364,681,631,0,0,54988,1,0.6953,0.5326,0.4574,0.4177,0.3836,0.3636,0.3396,0.3249,0.3035,0.2954,0.2776,0.2723,0.2588,0.253,0.2438,0.2423,0.2362,0.229,0.229,0.2181,0.2151,0.2023,0.2002,0.1871,0.1871,0.176,0.1746,0.162,0.1601,0.1514,0.1526,0.1446,0.1417,0.1386,0.1307,0.13,0.1109,0.1093,0.1067,0.1001,2115,1820,0,0
518995791497187_921268234603272,https://www.facebook.com/VisualizationStudio/posts/921268887936540:0,"Our intrepid studio director Björn Thuresson is a guest at the next Crosstalks - Game On: how gaming defines our culture and vice versa. Live on February 19, 18:00 at Stockholm University, Kista Campus, NOD Building, Aula NOD, Borgarfjordsgatan 12. We're excited to see the talk!

http://crosstalks.tv/talk/games/",Photo,,,"02/16/2015 08:22:00 PM"," ",125,125,0,386,386,0,48,1,29,,1,1,31,,1,28,72,1,10,20,,1,20,51,,0,0,,,,,49,10,0,0,25,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_1545250349072040,https://www.facebook.com/events/1545250349072040/,"Edge Bundling for Parallel Coordinates by Tino Weinkauf",Status,,,"02/16/2015 06:07:43 AM"," ",146,146,0,474,474,0,9,4,3,2,,8,4,8,,2,3,,2,,,,3,,,0,0,,,,,372,66,0,0,7,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_920749911321771,https://www.facebook.com/VisualizationStudio/videos/920749911321771/,"Our intrepid studio director Björn Thuresson is a guest at the next Crosstalks - Game On: how gaming defines our culture and vice versa. Live on February 19, 18:00 at Stockholm University, Kista Campus, Nod Building, Aula NOD, Borgarfjordsgatan 12. We're excited to see the talk!

http://crosstalks.tv/talk/games/",Video,,,"02/16/2015 04:55:38 AM"," ",876,876,0,2533,2533,0,47,1,11,,3,1,14,,3,43,66,2,22,,24,2,35,,29,0,0,,,,,951,300,0,0,31,19612,42,40,0,0,40720,1,0.797,0.5913,0.4823,0.4196,0.3856,0.3638,0.3283,0.2997,0.2847,0.2629,0.2466,0.2398,0.2262,0.2084,0.1962,0.1935,0.1975,0.1757,0.1649,0.1512,0.1431,0.1349,0.1267,0.124,0.1185,0.1131,0.1063,0.0995,0.0981,0.0926,0.0913,0.0913,0.0872,0.0831,0.079,0.0708,0.0668,0.0586,0.0586,0.0559,302,262,0,0
518995791497187_920707224659373,https://www.facebook.com/VisualizationStudio/posts/920707224659373,"Information Visualization IVIS15 students discussing project proposals. You make us proud!",Photo,,,"02/16/2015 02:55:33 AM"," ",226,226,0,697,697,0,8,,3,,,,5,,,6,13,,5,1,,,11,2,,0,0,,,,,604,150,0,0,8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
518995791497187_920699934660102,https://www.facebook.com/VisualizationStudio/posts/920700571326705:0,"Information Visualization IVIS15 students discussing project proposals. C Awards, here we come!",Photo,,,"02/15/2015 05:36:00 PM"," ",216,216,0,432,432,0,48,1,6,,2,1,12,,2,44,77,,2,43,,,2,75,,0,0,,,,,40,9,0,0,25,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_918694121527350,https://www.facebook.com/VisualizationStudio/posts/918694121527350,"We'll see you at Friends Arena between October 30 and November 1 at Comic Con Stockholm 2015! We're super excited!",Photo,,,"02/12/2015 12:02:46 PM"," ",273,273,0,780,780,0,12,,4,,,,5,,,10,16,,10,,,,16,,,0,0,,,,,688,196,0,0,12,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
518995791497187_914230951973667,http://www.facebook.com/media/set/?set=ms.c.eJw9zcENwDAIQ9GNKhuIE%7E_%7E_%7E%3BWKVQenz6yJgVSZjeqZWPr4l2fEathGyOeVTI2G1Y914au7t%7E%3Bd599qPvsM28vj%7E%3Bvf4QsI4yAg.bps.a.914230951973667.1073741869.518995791497187&amp;type=1,"Title: Extending Opera - Artist-led Explorations in Operatic Practice through Interactivity and Electronics

Abstract: 
How can we re-empower opera singers, extending their control over accompaniment and vocal expressivity? To answer this question, I have opened a novel design space, Extending Opera, consisting of interactive artist–operated tools to be used on-stage.

Video: https://www.facebook.com/video.php?v=914224891974273

To read more: 
http://kth.diva-portal.org/smash/get/diva2:781856/FULLTEXT01.pdf",Photo,,,"02/04/2015 03:09:53 PM"," ",240,240,0,619,619,0,41,,7,,1,,7,,1,37,366,,17,21,,,19,347,,0,0,,,,,476,144,0,0,21,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_914224891974273,https://www.facebook.com/VisualizationStudio/videos/914224891974273/,"Visualization Studio VIC friend, Carl Unander-Scharin performing his opera and defending his PhD thesis at KTH Royal Institute of Technology.

Title: Extending Opera - Artist-led Explorations in Operatic Practice through Interactivity and Electronics

Abstract: 
How can we re-empower opera singers, extending their control over accompaniment and vocal expressivity? To answer this question, I have opened a novel design space, Extending Opera, consisting of interactive artist–operated tools to be used on-stage.

To read more: 
http://kth.diva-portal.org/smash/get/diva2:781856/FULLTEXT01.pdf",Video,,,"02/04/2015 03:01:19 PM"," ",2418,2418,0,6413,6413,0,212,3,18,,1,3,23,,8,207,361,2,154,,87,2,252,,107,0,0,,,,,1175,365,0,0,63,30337,139,118,0,0,56990,1,0.7024,0.5384,0.445,0.3914,0.3649,0.3553,0.3242,0.3022,0.286,0.2756,0.2619,0.259,0.2416,0.2213,0.2046,0.1968,0.1889,0.1905,0.1739,0.1677,0.1611,0.1532,0.1461,0.1428,0.1303,0.1216,0.1196,0.1137,0.1079,0.1013,0.0934,0.088,0.0868,0.0805,0.0793,0.0735,0.0722,0.061,0.0573,0.0527,910,746,0,0
518995791497187_911008975629198,https://www.facebook.com/VisualizationStudio/posts/911008975629198,"This night, the studio's filled with VR-enthusiasts. Stockholm VR Meetup holds their fourth event here. There are a few short talks, eg Peter Lundén on 3D audio, and plenty of demos, eg our very own Podracer and a possibility to try Samsung Gear VR.

More info on the meetup can be found here:http://www.meetup.com/Stockholm-Virtual-Reality-Meetup/",Photo,,,"01/29/2015 09:54:22 AM"," ",577,577,0,1607,1607,0,67,,12,,1,,14,,1,57,83,7,50,7,,7,69,7,,0,0,,,,,1049,303,0,0,55,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_910428599020569,http://www.facebook.com/media/set/?set=ms.c.eJw1yckNACAMA7CNUEhbmuy%7E%3BGBLH07InkhIYFRKHj41aaqKeW%7E%3Bfz29exAZpPDNw%7E-.bps.a.910428599020569.1073741868.518995791497187&amp;type=1,"Abstract: Exascale computation power that delivers 10^18 floating-point operations per second is estimated to arrive in the next 5-10 years. While the exascale machines will enable scientific simulations that are beyond the current capability, there are also challenges to be addressed in order to effectively exploit this power. The magnetosphere is the region filled with plasma around a magnetic astronomical objects like the Earth, the Moon, and Jupiter. Earth's magnetosphere shields the planet from the incoming charged particles in the Solar Wind, which is vital for life to develop and to sustain. Realistic simulations of the dynamics between Solar Wind and Magnetosphere remain challenging even on exascale machines.

In this talk, a massively parallel Particle-in-Cell code, iPic3D, will be introduced. Results using iPic3D for a global simulation of the formation of a magnetosphere are to be present. The challenges in moving towards exascale simulations: extreme parallelism, run-time error and I/O bottleneck, are to be discussed. Our approaches, preparation works and strategies that are done in the EPiGRAM project (http://www.epigram-project.eu/) to address these challenges will also be present: simulation of performance at large scale, the hybrid programming model using PGAS and Message Passing, offloading intensive computation to GPU, different I/O strategies and sparse collectives.",Photo,,,"01/28/2015 07:29:46 AM"," ",256,256,0,740,740,0,37,,4,,1,,5,,1,37,154,,28,21,,,43,111,,0,0,,,,,610,180,0,0,34,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_909807699082659,http://www.facebook.com/media/set/?set=ms.c.eJxFysEJACAMA8CNJMaGJvsvJvrQ58EFMbrBmko4cuxa6gr1HZiynu%7E_f2Z7kDPQ%7E-.bps.a.909807699082659.1073741867.518995791497187&amp;type=1,"Beskow, KTH Royal Institute of Technology's supercomputer, Scandinavia's fastest, was officially inaugurated today. Congratulations! 

https://www.pdc.kth.se/resources/computers/beskow/hardware",Photo,,,"01/27/2015 01:53:44 AM"," ",264,264,0,782,782,0,34,,6,,,,7,,,31,146,4,16,20,,4,25,117,,0,0,,,,,676,190,0,0,27,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_909806302416132,https://www.facebook.com/VisualizationStudio/posts/909807022416060:0,"KTH Royal Institute of Technology's new supercomputer, Scandinavia's fastest, Beskow is officially inaugurated. Congratulations!

https://www.pdc.kth.se/resources/computers/beskow/hardware",Photo,,,"01/26/2015 04:45:00 PM"," ",17,17,0,57,57,0,19,,3,,,,3,,,16,36,,1,16,,,1,35,,0,0,,,,,40,4,0,0,10,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_909437179119711,http://www.facebook.com/media/set/?set=ms.c.eJyzNLA0MTY3MjA1tzAzNjfVswTzDS0tDQ0tzQ0sAWZtBmg%7E-.bps.a.909437179119711.1073741866.518995791497187&amp;type=1,"Wanderers' Erik Wernquist's visit to VIC Jan 26, 2015",Photo,,,"01/26/2015 06:51:35 AM"," ",121,121,0,383,383,0,53,,,,,,,,,53,171,,24,40,,,37,134,,0,0,,,,,383,121,0,0,41,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_907380475992048,https://www.facebook.com/VisualizationStudio/posts/907380475992048,"Wanderers author Erik Wernquist will visit VIC on Monday at 2:30 pm. You are most welcome to join us. We will screen a full-resolution uncompressed version of the short film follow by a short Q&amp;A. Hope to see you there!",Link,,,"01/23/2015 02:52:41 AM"," ",278,278,0,754,754,0,19,1,8,,2,1,9,,3,13,28,5,8,,,5,23,,,0,0,,,,,657,205,0,0,15,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
518995791497187_907335082663254,http://www.facebook.com/media/set/?set=ms.c.eJyzNDA3NjY1MrE0NrK0NDDRs4TwzUwtLc1MzSzhfIi8EQDn7Amr.bps.a.907335082663254.1073741865.518995791497187&amp;type=1,"MS Defense Susanne Forchheimer",Photo,,,"01/23/2015 01:11:31 AM"," ",596,596,0,1590,1590,0,71,1,16,,2,1,18,,2,61,257,,44,39,,,67,190,,0,0,,,,,873,232,0,0,48,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_906635352733227,https://www.facebook.com/VisualizationStudio/posts/906635352733227,"Microsoft jumps into the AR-game for real.
http://www.microsoft.com/microsoft-hololens/en-us?ocid=Social_Microsoft_tw_2015-01-21_Photo_Hardware-announce-website_Organic&amp;wt.mc_id=socialmicrosoft_tw_21012015_Hardware-announce-website",Link,,,"01/21/2015 10:34:58 PM"," ",494,494,0,1465,1465,0,41,,15,,1,,17,,1,28,41,21,8,,,22,19,,,0,0,,,,,1190,329,0,0,34,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
518995791497187_948781701806586,https://www.facebook.com/events/948781701806586/,"Visit by Erik Wernquist, author of Wanderers",Status,,,"01/21/2015 05:09:02 AM"," ",81,81,0,177,177,0,2,,,1,,,,4,,1,1,,1,,,,1,,,0,0,,,,,137,42,0,0,1,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_906110146119081,https://www.facebook.com/VisualizationStudio/posts/906110146119081,"Mario is in the cover of the C Awards. Cool.",Photo,,,"01/21/2015 04:09:51 AM"," ",142,142,0,410,410,0,6,1,2,,,3,2,,,5,14,,5,,,,14,,,0,0,,,,,363,98,0,0,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
518995791497187_906084429454986,http://www.facebook.com/media/set/?set=ms.c.eJyzNDAzsDAxMbc0MTWxtDDUs4TwTc0MjQzNTA1gfBOIvAkA5z8Jog%7E-%7E-.bps.a.906084429454986.1073741864.518995791497187&amp;type=1,"MS Defense Henrik Böstrom",Photo,,,"01/21/2015 02:57:23 AM"," ",502,502,0,1343,1343,0,76,2,3,,2,2,3,,2,76,340,,60,49,,,94,246,,1,1,1,,1,,740,217,0,0,50,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_906206746109421,https://www.facebook.com/VisualizationStudio/posts/906207462776016:0,"Erik Wernquist, a Stockholm artist and animator, will visit the Visualization Studio on Monday January 26 to show his film and have an early afternoon conversation.

https://www.facebook.com/events/948781701806586/",Photo,,,"01/20/2015 10:04:00 PM"," ",7,7,0,73,73,0,12,,2,,,,3,,,12,35,,,12,,,,35,,0,0,,,,,67,1,0,0,11,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
