"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Talking About This (Post) by action type - comment","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - other","Lifetime Talking About This (Post) by action type - share","Lifetime Post Stories by action type - comment","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - other","Lifetime Post Stories by action type - share","Lifetime Post Consumers","Lifetime Post Consumptions","Lifetime Post consumers by type - link clicks","Lifetime Post consumers by type - other clicks","Lifetime Post consumers by type - photo view","Lifetime Post consumers by type - video play","Lifetime Post Consumptions by type - link clicks","Lifetime Post Consumptions by type - other clicks","Lifetime Post Consumptions by type - photo view","Lifetime Post Consumptions by type - video play","Lifetime Negative feedback","Lifetime Negative Feedback from Users","Lifetime Negative feedback - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Average time video viewed","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Video length","Lifetime Percentage of viewers at each interval (video post) - 0","Lifetime Percentage of viewers at each interval (video post) - 1","Lifetime Percentage of viewers at each interval (video post) - 2","Lifetime Percentage of viewers at each interval (video post) - 3","Lifetime Percentage of viewers at each interval (video post) - 4","Lifetime Percentage of viewers at each interval (video post) - 5","Lifetime Percentage of viewers at each interval (video post) - 6","Lifetime Percentage of viewers at each interval (video post) - 7","Lifetime Percentage of viewers at each interval (video post) - 8","Lifetime Percentage of viewers at each interval (video post) - 9","Lifetime Percentage of viewers at each interval (video post) - 10","Lifetime Percentage of viewers at each interval (video post) - 11","Lifetime Percentage of viewers at each interval (video post) - 12","Lifetime Percentage of viewers at each interval (video post) - 13","Lifetime Percentage of viewers at each interval (video post) - 14","Lifetime Percentage of viewers at each interval (video post) - 15","Lifetime Percentage of viewers at each interval (video post) - 16","Lifetime Percentage of viewers at each interval (video post) - 17","Lifetime Percentage of viewers at each interval (video post) - 18","Lifetime Percentage of viewers at each interval (video post) - 19","Lifetime Percentage of viewers at each interval (video post) - 20","Lifetime Percentage of viewers at each interval (video post) - 21","Lifetime Percentage of viewers at each interval (video post) - 22","Lifetime Percentage of viewers at each interval (video post) - 23","Lifetime Percentage of viewers at each interval (video post) - 24","Lifetime Percentage of viewers at each interval (video post) - 25","Lifetime Percentage of viewers at each interval (video post) - 26","Lifetime Percentage of viewers at each interval (video post) - 27","Lifetime Percentage of viewers at each interval (video post) - 28","Lifetime Percentage of viewers at each interval (video post) - 29","Lifetime Percentage of viewers at each interval (video post) - 30","Lifetime Percentage of viewers at each interval (video post) - 31","Lifetime Percentage of viewers at each interval (video post) - 32","Lifetime Percentage of viewers at each interval (video post) - 33","Lifetime Percentage of viewers at each interval (video post) - 34","Lifetime Percentage of viewers at each interval (video post) - 35","Lifetime Percentage of viewers at each interval (video post) - 36","Lifetime Percentage of viewers at each interval (video post) - 37","Lifetime Percentage of viewers at each interval (video post) - 38","Lifetime Percentage of viewers at each interval (video post) - 39","Lifetime Percentage of viewers at each interval (video post) - 40","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views"
518995791497187_978719428858152,https://www.facebook.com/VisualizationStudio/posts/978719428858152:0,"Virtual reality at SIGRAD 2015!",Photo,,,"06/02/2015 01:38:03 AM"," ",0,0,0,0,0,0,25,,,,,,,,,25,44,,,25,,,,44,,0,0,,,0,0,0,0,25,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_978719412191487,https://www.facebook.com/VisualizationStudio/posts/978719412191487:0,"Virtual reality at SIGRAD 2015!",Photo,,,"06/02/2015 01:38:03 AM"," ",1,1,0,1,1,0,20,,,,,,,,,20,27,,,20,,,,27,,0,0,,,1,1,0,0,20,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_978719398858155,https://www.facebook.com/VisualizationStudio/posts/978719398858155:0,"Virtual reality at SIGRAD 2015!",Photo,,,"06/02/2015 01:38:03 AM"," ",0,0,0,0,0,0,25,,,,,,,,,25,39,,,25,,,,39,,0,0,,,0,0,0,0,25,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_978719388858156,https://www.facebook.com/VisualizationStudio/posts/978719388858156:0,"Virtual reality at SIGRAD 2015!",Photo,,,"06/02/2015 01:38:03 AM"," ",0,0,0,0,0,0,25,,,,,,,,,25,41,,,25,,,,41,,0,0,,,0,0,0,0,25,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_978719378858157,https://www.facebook.com/VisualizationStudio/posts/978719378858157:0,"Virtual reality at SIGRAD 2015!",Photo,,,"06/02/2015 01:38:03 AM"," ",0,0,0,0,0,0,25,,,,,,,,,25,40,,,25,,,,40,,0,0,,,0,0,0,0,25,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_978109848919110,https://www.facebook.com/VisualizationStudio/posts/978109848919110,"And we are off to a great start!",Photo,,,"06/01/2015 03:09:20 AM"," ",309,309,0,665,665,0,22,,4,,,,4,,,19,26,,15,5,,,21,5,,0,0,,,571,236,0,0,22,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
518995791497187_977805732282855,https://www.facebook.com/VisualizationStudio/posts/977805732282855,"Schedule for SIGRAD 2015:",Link,,,"05/31/2015 01:18:34 PM"," ",349,349,0,770,770,0,11,,4,,1,,4,,1,8,9,6,3,,,6,3,,,0,0,,,454,174,0,0,8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
518995791497187_975914329138662,https://www.facebook.com/VisualizationStudio/posts/975914329138662,"Our greatest contribution to the world is world-class engineers. Congratulations class of 2015!",Photo,,,"05/27/2015 01:15:08 PM"," ",650,650,0,1296,1296,0,72,,6,,,,6,,,68,123,,55,17,,,101,22,,0,0,,,920,382,0,0,61,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
518995791497187_928540477209381,https://www.facebook.com/VisualizationStudio/posts/975708472492581,"http://sigrad.se/sigrad2015/index.html

SIGRAD, the Swedish Chapter of Eurographics, invites submissions to its 36th annual conference, which will be held in the Vizualisation Studio (VIC) at KTH Royal Institute of Technology, Stockholm on the 1st and 2nd of June 2015.
 
SIGRAD is the premier Nordic forum for computer graphics and visualization advances for academia and industry. It brings together researchers and practitioners with interest in techniques, tools, and technology from various fields, such as visualization, computer graphics, visual analytics and human-computer interaction.
 
In addition to the regular submissions concerning general computer graphics practices, this year's conference will also investigate and foster potential synergies between industry, pedagogical practitioners and academic researchers through a special focus on themes related to visualization, interactive computer graphics and games technologies and their use in educational practices.
 
Interactive computer graphics and animation techniques are the basis for the sophisticated modern technologies that drive computer games and the associated multi-billion dollar industry. Further, visualization, computer graphics techniques and games have great potential in educational tools and methodologies, representing a motivational force for better engaging students in pedagogical activities concerning science, technology, engineering and mathematics (STEM) subjects.
 
As a special focus at SIGRAD 2015, we welcome papers related to the following topics from academia and industry:
 
1) Position papers and/or posters presenting state-of-the-art graphics and animation technologies in the Swedish computer games industry.
 
2) Academic research concerning novel techniques and potentially significant advances in visualization, interactive computer graphics and computer game technologies.
 
3) Descriptions of novel courses/curricula, approaches and teaching experiences involving the use of computer graphics visualizations and games techniques in Swedish academia for better communicating concepts or motivating students to engage in learning activities.
 
Note that submissions outside of the scope of the special focus will receive equal consideration for acceptance during the review process.
 
A core objective of the conference is to engage students, at undergraduate and postgraduate levels, in visualization and computer graphics research. Special provision has therefore been made for students to attend and present at the conference at heavily discounted rates (see STUDENT REGISTRATION below for conditions).",Photo,,,"05/27/2015 03:33:17 AM"," ",1,1,0,1,1,0,22,,4,,,,5,,,19,35,,,19,,,,35,,0,0,,,0,0,0,0,13,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_974571642606264,https://www.facebook.com/VisualizationStudio/posts/974571642606264,"Just noticed that there are 220 days, 21 hours, 18 minutes, 12 seconds left in 2015. That is a bit more than one like per day to reach our goal of 1000 by the end of the year. Please, share with your fiends if you enjoy our original content. Thank you!",Status,,,"05/25/2015 12:42:40 AM"," ",122,122,0,290,290,0,2,,2,,,,2,,,0,0,,,,,,,,,0,0,,,223,72,0,0,2,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_973918932671535,https://www.facebook.com/VisualizationStudio/posts/973918932671535,"Our students' independently developed game Asteroider looks very fun. Congratulations and good luck at the Swedish Games Awards!",Link,,,"05/24/2015 08:47:17 AM"," ",891,891,0,2042,2042,0,39,,7,,1,,9,,1,34,42,13,23,,,13,29,,,0,0,,,1040,362,0,0,31,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
518995791497187_970941022969326,https://www.facebook.com/VisualizationStudio/posts/970941022969326,"Another kind of pod, this one from KTH. What do you think?",Link,,,"05/20/2015 01:05:09 PM"," ",257,257,0,1001,1001,0,12,,1,,1,,1,,1,11,11,9,2,,,9,2,,,0,0,,,833,155,0,0,11,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
518995791497187_970482469681848,https://www.facebook.com/VisualizationStudio/posts/970482469681848,"Wikidata visualization challenge.",Link,,,"05/19/2015 03:55:39 AM"," ",141,141,0,319,319,0,5,,3,,,,5,,,2,2,,2,,,,2,,,0,0,,,258,96,0,0,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
518995791497187_970428596353902,https://www.facebook.com/VisualizationStudio/posts/970428596353902,"Recruiting Participants for Virtual Reality Game Study. Thank you!",Photo,,,"05/19/2015 12:10:55 AM"," ",191,191,0,418,418,0,5,,3,,,,5,,,3,3,,3,,,,3,,,0,0,,,336,133,0,0,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
518995791497187_968744583188970,https://www.facebook.com/VisualizationStudio/posts/968744583188970:0,"We're welcoming the next generation of game developers!

http://www.tjejhack.se/pyjama-jam-1.html",Photo,,,"05/15/2015 09:00:43 AM"," ",851,851,0,1841,1841,0,65,3,28,,1,3,38,,1,49,101,10,32,27,,10,42,49,,0,0,,,923,334,0,0,47,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_965417630188332,https://www.facebook.com/VisualizationStudio/posts/965417630188332,"We are looking for an assistant professor in technology enhanced learning. Application open until August 3rd. Join us!",Link,,,"05/07/2015 11:45:31 AM"," ",137,137,0,334,334,0,4,,1,,1,,1,,1,2,3,2,,,,3,,,,0,0,,,257,87,0,0,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
518995791497187_965306423532786,https://www.facebook.com/VisualizationStudio/posts/965306423532786,"We celebrate our Dean's 50th birthday. Grattis Jan Gulliksen!",Link,,,"05/07/2015 04:54:56 AM"," ",248,248,0,554,554,0,22,,2,,,,2,,,20,31,,20,,,,31,,,0,0,,,472,194,0,0,21,18589,25,25,0,0,33900,1,1,0.9877,0.9753,0.8765,0.7531,0.6914,0.6296,0.5679,0.5309,0.5185,0.4938,0.4691,0.4444,0.4198,0.4074,0.3951,0.3704,0.3704,0.3704,0.3704,0.358,0.3457,0.3333,0.321,0.3086,0.3086,0.3086,0.321,0.3333,0.321,0.321,0.3086,0.3086,0.3086,0.3086,0.3086,,,,,81,74,0,0
518995791497187_965030193560409,https://www.facebook.com/VisualizationStudio/posts/965030193560409,"It has begun: The Wikidata Visualization Challenge! Do you have ideas to visualize wikidata? Take part of the challenge now! In addition to fame and fortune, you are also in the race for travel and participation in the Slush in Helsinki (worth SEK 25 000). Learn more about the contest on http://wvc.se",Photo,,,"05/06/2015 12:10:12 PM"," ",387,387,0,852,852,0,21,,5,,,,8,,,18,27,11,11,1,,11,15,1,,0,0,,,716,293,0,0,19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
518995791497187_964997553563673,https://www.facebook.com/VisualizationStudio/posts/964997640230331,"Visualization Studio VIC's cover photo",Photo,,,"05/06/2015 10:21:21 AM"," ",11,11,0,18,18,0,16,,2,,,,2,,,15,47,,,15,,,,47,,0,0,,,0,0,0,0,11,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_964930576903704,http://www.facebook.com/media/set/?set=ms.c.eJw9kdkVRCEIQzuaA7Io%7E%3BTc2T2L4vCYEhEovUxeLLeucX12WqCyx7%7E_VxrstZRT6yrrzJ1mzPr6Gdt%7E%3BfkQU%7E%3B6C3nM34o8J%7E%3ButtxgO6DLc9Yd5G%7E%3BMo%7E_x2BruQF3cjZ%7E_b6G27%7E%3BjcUn7ZRj1YsNdP%7E%3B%7E_p2%7E%3B9bz%7E_uvIuAYbv86ZIPOfUk2nyJv%7E_N%7E%3B8qqhX1quBma%7E%3Be8zv7K%7E%3B6nzNcD%7E%3Bc2vq%7E_%7E%3Bz7Y2MfYvPvZpz7o1%7E_GX%7E_Q6nHA.bps.a.964930576903704.1073741873.518995791497187&amp;type=1,"We had an inspiring and informationally charged workshop on the present and future of open data for academics: where and how to publish results, what and how to share raw data.",Photo,,,"05/06/2015 05:49:21 AM"," ",707,707,0,1823,1823,0,92,,11,,2,,13,,4,90,2771,,54,76,,,106,2665,,0,0,,,1109,328,0,0,61,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_964352840294811,https://www.facebook.com/VisualizationStudio/posts/964352840294811,"Links to visualization tools and compendia: 
https://www.kth.se/social/course/DH2321/page/links-18/",Link,,,"05/04/2015 06:57:10 PM"," ",305,305,0,685,685,0,17,,5,,1,,5,,1,14,15,13,2,,,13,2,,,0,0,,,584,234,0,0,14,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
518995791497187_964255283637900,https://www.facebook.com/VisualizationStudio/posts/964255313637897,"Visualization Studio VIC's cover photo",Photo,,,"05/04/2015 12:51:38 PM"," ",17,17,0,23,23,0,15,,3,,,,5,,,13,27,,1,12,,,2,25,,0,0,,,0,0,0,0,12,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_964060276990734,https://www.facebook.com/VisualizationStudio/posts/964060276990734:0,"Next weekend on May 15-16, the Visualization Studio is hosting TjejHack's Pyjama JAM! This game jam is a two day event for girls between the ages of 13-18 to learn programming and how to develop games. Registration is available at http://www.tjejhack.se/pyjama-jam-1.html

Staff from the studio and from KTH will participate in running the jam, together with the TjejHack group.",Photo,,,"05/04/2015 05:17:58 AM"," ",289,289,0,795,795,0,24,4,5,,1,4,7,,1,19,41,2,9,11,,2,21,18,,0,0,,,539,158,0,0,21,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_964018370328258,https://www.facebook.com/VisualizationStudio/posts/964018370328258,"Nine hours left for registration. Looking forward to seeing you at the Open Data for Academics event tomorrow at Visualization Studio VIC.",Link,,,"05/04/2015 02:32:35 AM"," ",195,195,0,479,479,0,11,,1,,,,1,,,10,25,,10,,,,25,,,1,1,1,1,446,168,0,0,10,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
518995791497187_962921163771312,https://www.facebook.com/VisualizationStudio/videos/962921163771312/,"Subject by subject, KTH Royal Institute of Technology continues to rise in the QS World University Rankings. In the rankings released today, KTH placed among the top 50 universities worldwide in five subjects. The QS ranks KTH among the top 100 universities in an additional five subjects. http://bit.ly/1bCKB2A",Video,,,"05/01/2015 10:35:25 AM"," ",456,456,0,1102,1102,0,35,,8,,3,,13,,3,31,54,10,23,,7,10,37,,7,0,0,,,764,288,0,0,27,29147,28,28,0,0,84680,1,0.6126,0.4437,0.351,0.3278,0.3046,0.2748,0.245,0.2318,0.202,0.1854,0.1722,0.1556,0.149,0.1424,0.1325,0.1325,0.1258,0.1258,0.1192,0.1192,0.1159,0.1093,0.1093,0.1093,0.106,0.106,0.1026,0.106,0.1026,0.0993,0.096,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0894,163,134,0,0
518995791497187_962273720502723,https://www.facebook.com/VisualizationStudio/videos/962273720502723/,"Professor Johan Hoffman's simulation of turbulent airflow past an aircraft. Together with Johan Jansson, Rodrigo Vilela De Abreu and Niclas Jansson. Happy Valborg!

http://www.csc.kth.se/~jhoffman/Johan_Hoffman_KTH/Home.html",Video,,,"04/30/2015 07:00:00 AM"," ",249,249,0,547,547,0,28,1,8,,,1,9,,,23,43,3,14,,16,3,17,,23,0,0,,,519,238,0,0,25,30517,24,20,0,0,78600,1,0.6108,0.4877,0.3941,0.3448,0.3054,0.2906,0.2857,0.266,0.2414,0.2266,0.2365,0.2217,0.2118,0.1872,0.1872,0.1626,0.1626,0.1527,0.1429,0.1429,0.1576,0.1527,0.1429,0.1429,0.1478,0.1478,0.1576,0.1527,0.1429,0.1379,0.1478,0.133,0.1281,0.1281,0.1133,0.1281,0.1084,0.1182,0.1232,0.1034,115,96,0,0
518995791497187_962112853852143,https://www.facebook.com/VisualizationStudio/posts/962112853852143,"Carla Griggio representing us at CHI2015 in Seoul. Made us proud!",Photo,,,"04/30/2015 01:02:05 AM"," ",211,211,0,513,513,0,11,,5,,,,10,,,7,13,,6,1,,,12,1,,0,0,,,418,145,0,0,11,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
518995791497187_960651527331609,https://www.facebook.com/VisualizationStudio/posts/960651527331609:0,"We have a number of job openings at HPCViz/PDC:

PostDoc/Researcher in Exascale Computing - 2 positions:
https://www.kth.se/en/om/work-at-kth/lediga-jobb/what:job/jobID:64250/where:4/
https://www.kth.se/en/om/work-at-kth/lediga-jobb/what:job/jobID:64258/where:4/

Application expert for code optimization:
https://intra.kth.se/en/anstallning/karriar/karriar-och-kompetensutveckling-kompetensstod/lediga-jobb-externa/what:job/jobID:64201/where:4/

Please spread the news!",Photo,,,"04/27/2015 02:55:53 AM"," ",704,704,0,1687,1687,0,60,,6,,2,,8,,2,57,107,22,40,16,,32,45,30,,0,0,,,953,329,0,0,45,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_959636080766487,https://www.facebook.com/VisualizationStudio/posts/959636080766487,"Impressive in so many ways.",Link,,,"04/25/2015 10:52:44 AM"," ",1413,1413,0,3047,3047,0,185,,17,,,,22,,,179,297,6,179,,,7,290,,,0,0,,,1418,467,0,0,83,0,0,0,0,0,8029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
518995791497187_958698554193573,https://www.facebook.com/VisualizationStudio/posts/958698554193573:0,"This last Monday (April 20), we had a number of distinguished guests in the Studio. As part of a Space Seminar organised by KTH and chaired by Christer Fuglesang, we welcomed the astronauts Alexander Alexandrov, John-David Bartoe, Bonnie Dunbar, Reinhold Ewald, Oleg Kotov, Sheikh Muszaphar Shukor, Soichi Noguchi. We are very proud to have been given the opportunity to present the studio to these individuals who share the experience of having been to space.",Photo,,,"04/24/2015 11:59:53 AM"," ",294,294,0,636,636,0,36,1,8,,1,1,15,,1,29,57,,17,22,,,22,35,,0,0,,,439,167,0,0,24,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_958593717537390,https://www.facebook.com/VisualizationStudio/posts/958593717537390:0,"We are very proud to host these distinguished visualization researchers in Sweden",Photo,,,"04/24/2015 07:28:00 AM"," ",241,241,0,540,540,0,28,,8,,,,9,,,23,52,,10,23,,,16,36,,0,0,,,424,164,0,0,23,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_958526510877444,https://www.facebook.com/VisualizationStudio/posts/958526510877444:0,"We are very proud to host these distinguished visualization researchers in Sweden",Photo,,,"04/24/2015 04:20:56 AM"," ",270,270,0,607,607,0,34,,5,,,,5,,,30,70,,18,28,,,30,40,,0,0,,,509,197,0,0,29,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_957875477609214,https://www.facebook.com/VisualizationStudio/posts/957875477609214:0,"Throwback Thursday brings us iBrowse, a visualization of your browsing history, a plugin for Chrome developed by our Information Visualization students from 2014. Try it out! https://chrome.google.com/webstore/detail/ibrowse/hcjpbkigjdnnpjmhgjnficbpkjgbmnek",Photo,,,"04/23/2015 07:12:27 AM"," ",287,287,0,669,669,0,26,,8,,1,,11,,1,21,44,2,7,18,,2,10,32,,0,0,,,416,149,0,0,18,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_359195237603987,https://www.facebook.com/events/359195237603987/,"Open Data for Academics",Status,,,"04/21/2015 06:56:50 AM"," ",225,225,0,615,615,0,23,5,16,3,,7,25,12,,7,8,,7,,,,8,,,0,0,,,574,190,0,0,14,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_956778967718865,https://www.facebook.com/VisualizationStudio/posts/956778967718865,"A contextualized spatio-temporal visualization of urban evolution.",Link,,,"04/21/2015 06:08:58 AM"," ",578,578,0,1566,1566,0,51,,12,,,,18,,,46,99,1,46,,,1,98,,,0,0,,,1373,451,0,0,47,31501,63,63,0,0,52385,1,0.739,0.5723,0.5031,0.456,0.4119,0.3931,0.3585,0.3428,0.3145,0.3176,0.3082,0.2987,0.2893,0.2862,0.2736,0.261,0.2579,0.2579,0.2484,0.239,0.2233,0.2201,0.217,0.2138,0.2107,0.2075,0.2075,0.2044,0.2013,0.2013,0.2013,0.1981,0.195,0.195,0.195,0.195,0.1981,0.1981,0.1981,0.1887,180,166,0,0
518995791497187_956713887725373,https://www.facebook.com/VisualizationStudio/posts/956713887725373,"The visible Earth.",Link,,,"04/21/2015 02:28:39 AM"," ",395,395,0,1068,1068,0,21,,5,,,,5,,,17,25,,17,,,,25,,,0,0,,,1002,350,0,0,19,47183,19,19,0,0,190557,1,0.4183,0.2669,0.1992,0.1713,0.1514,0.1474,0.1315,0.1275,0.1275,0.1195,0.1155,0.1155,0.1155,0.1076,0.1036,0.1036,0.1036,0.0956,0.0916,0.0876,0.0837,0.0876,0.0837,0.0837,0.0837,0.0797,0.0797,0.0797,0.0797,0.0797,0.0837,0.0797,0.0797,0.0797,0.0797,0.0797,0.0797,0.0757,0.0757,0.0717,129,118,0,0
518995791497187_956058204457608,https://www.facebook.com/VisualizationStudio/posts/956058204457608:0,"The studio, a movie studio now.",Photo,,,"04/20/2015 02:23:05 AM"," ",139,139,0,398,398,0,19,,4,,,,5,,,15,28,,4,14,,,4,24,,0,0,,,368,116,0,0,14,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_954478051282290,http://www.facebook.com/media/set/?set=ms.c.eJxFjsENwDAIAzeqgoEA%7E_y9WFeL0eTpbdrlZpC7b4l75VDNCkMC%7E_nFGWpXpYMZ4MaW%7E_LPD7%7E_fHsU2afPvMbsC3n2wH7MP8%7E%3BL3YdzTz%7E_%7E%3Bl79W8Cqa.bps.a.954478051282290.1073741872.518995791497187&amp;type=1,"The department of Media technology and Interaction Design at KTH held part of its Open House at our Studio. We thank our visitors for their generous feedback!",Photo,,,"04/16/2015 09:51:12 PM"," ",447,447,0,1173,1173,0,64,,6,,1,,10,,1,60,651,,34,47,,,64,587,,0,0,,,838,271,0,0,48,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_953780254685403,https://www.facebook.com/VisualizationStudio/posts/953780254685403,"We are on the front page of the MID Open House!",Link,,,"04/15/2015 10:14:32 AM"," ",370,370,0,1248,1248,0,41,,17,,1,,17,,1,27,30,24,3,,,27,3,,,0,0,,,1100,287,0,0,31,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
518995791497187_953335308063231,https://www.facebook.com/VisualizationStudio/posts/953335308063231,"We are one of the demo stations at the MID Open House today, Wednesday, from 14:00 to 16:00. We're looking forward to seeing you!",Link,,,"04/14/2015 02:26:37 PM"," ",281,281,0,688,688,0,9,,3,,2,,5,,2,7,12,4,4,,,4,8,,,0,0,,,615,233,0,0,9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
518995791497187_953100814753347,https://www.facebook.com/VisualizationStudio/posts/953100814753347:0,"The work of our star student Angie Skazka published in the  upcoming Information Made Beautiful book. Fantastic work Angie! http://www.amazon.com/dp/9881383463/ref=tsm_1_fb_lk",Photo,,,"04/14/2015 04:33:49 AM"," ",2578,2578,0,6900,6900,0,386,8,59,,8,14,67,,13,362,927,33,232,320,,37,416,474,,0,0,,,1687,399,0,0,122,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_952642441465851,https://www.facebook.com/VisualizationStudio/posts/952642441465851,"Reminder: paper submission deadline for SIGRAD2015 is this Friday, April 17, at midnight. 
http://sigrad.se/sigrad2015/index.html",Link,,,"04/13/2015 05:21:00 AM"," ",643,643,0,2001,2001,0,18,,6,,4,,8,,5,16,21,7,11,,,7,14,,,0,0,,,772,219,0,0,11,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
518995791497187_947073902022705,https://www.facebook.com/VisualizationStudio/posts/947073902022705,"KTH is recruiting for 13 assistant professor positions in 11 areas. Join us!",Link,,,"04/02/2015 03:59:00 AM"," ",364,364,0,1059,1059,0,37,,6,,,,7,,,32,38,23,12,,,24,14,,,0,0,,,943,291,0,0,35,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
518995791497187_946743755389053,https://www.facebook.com/VisualizationStudio/posts/946743755389053,"Our student project YA3 on the front page of Media Technology.
http://ya3.philipshield.com/",Link,,,"04/01/2015 10:58:16 AM"," ",194,194,0,621,621,0,15,,5,,,,6,,,10,11,10,,,,11,,,,0,0,,,541,143,0,0,15,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
