"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Content Tags","Lifetime Post Total Impressions","Lifetime Post Paid Impressions","Lifetime Post Organic Impressions","Lifetime Total Video Views","Lifetime Paid Video Views","Lifetime Organic Video Views","Lifetime Total 30-Second Views","Lifetime Paid 30-Second Views","Lifetime Organic 30-Second Views","Lifetime Total Views to 95%","Lifetime Paid views to 95%","Lifetime Organic views to 95%","Lifetime Post Total Reach","Lifetime Unique Video Views","Lifetime Unique 30-Second Views","Lifetime Unique Views to 95%","Lifetime Auto-Played Video Views","Lifetime Clicked-to-Play Video Views","Lifetime Auto-Played 30-Second Views","Lifetime Clicked-to-Play 30-Second Views","Lifetime Auto-Played views to 95%","Lifetime Clicked-to-Play views to 95%","Lifetime Percentage of viewers at each interval (video post) - 0","Lifetime Percentage of viewers at each interval (video post) - 1","Lifetime Percentage of viewers at each interval (video post) - 2","Lifetime Percentage of viewers at each interval (video post) - 3","Lifetime Percentage of viewers at each interval (video post) - 4","Lifetime Percentage of viewers at each interval (video post) - 5","Lifetime Percentage of viewers at each interval (video post) - 6","Lifetime Percentage of viewers at each interval (video post) - 7","Lifetime Percentage of viewers at each interval (video post) - 8","Lifetime Percentage of viewers at each interval (video post) - 9","Lifetime Percentage of viewers at each interval (video post) - 10","Lifetime Percentage of viewers at each interval (video post) - 11","Lifetime Percentage of viewers at each interval (video post) - 12","Lifetime Percentage of viewers at each interval (video post) - 13","Lifetime Percentage of viewers at each interval (video post) - 14","Lifetime Percentage of viewers at each interval (video post) - 15","Lifetime Percentage of viewers at each interval (video post) - 16","Lifetime Percentage of viewers at each interval (video post) - 17","Lifetime Percentage of viewers at each interval (video post) - 18","Lifetime Percentage of viewers at each interval (video post) - 19","Lifetime Percentage of viewers at each interval (video post) - 20","Lifetime Percentage of viewers at each interval (video post) - 21","Lifetime Percentage of viewers at each interval (video post) - 22","Lifetime Percentage of viewers at each interval (video post) - 23","Lifetime Percentage of viewers at each interval (video post) - 24","Lifetime Percentage of viewers at each interval (video post) - 25","Lifetime Percentage of viewers at each interval (video post) - 26","Lifetime Percentage of viewers at each interval (video post) - 27","Lifetime Percentage of viewers at each interval (video post) - 28","Lifetime Percentage of viewers at each interval (video post) - 29","Lifetime Percentage of viewers at each interval (video post) - 30","Lifetime Percentage of viewers at each interval (video post) - 31","Lifetime Percentage of viewers at each interval (video post) - 32","Lifetime Percentage of viewers at each interval (video post) - 33","Lifetime Percentage of viewers at each interval (video post) - 34","Lifetime Percentage of viewers at each interval (video post) - 35","Lifetime Percentage of viewers at each interval (video post) - 36","Lifetime Percentage of viewers at each interval (video post) - 37","Lifetime Percentage of viewers at each interval (video post) - 38","Lifetime Percentage of viewers at each interval (video post) - 39","Lifetime Percentage of viewers at each interval (video post) - 40","Lifetime Percentage of auto-played viewers at each interval (video post) - 0","Lifetime Percentage of auto-played viewers at each interval (video post) - 1","Lifetime Percentage of auto-played viewers at each interval (video post) - 2","Lifetime Percentage of auto-played viewers at each interval (video post) - 3","Lifetime Percentage of auto-played viewers at each interval (video post) - 4","Lifetime Percentage of auto-played viewers at each interval (video post) - 5","Lifetime Percentage of auto-played viewers at each interval (video post) - 6","Lifetime Percentage of auto-played viewers at each interval (video post) - 7","Lifetime Percentage of auto-played viewers at each interval (video post) - 8","Lifetime Percentage of auto-played viewers at each interval (video post) - 9","Lifetime Percentage of auto-played viewers at each interval (video post) - 10","Lifetime Percentage of auto-played viewers at each interval (video post) - 11","Lifetime Percentage of auto-played viewers at each interval (video post) - 12","Lifetime Percentage of auto-played viewers at each interval (video post) - 13","Lifetime Percentage of auto-played viewers at each interval (video post) - 14","Lifetime Percentage of auto-played viewers at each interval (video post) - 15","Lifetime Percentage of auto-played viewers at each interval (video post) - 16","Lifetime Percentage of auto-played viewers at each interval (video post) - 17","Lifetime Percentage of auto-played viewers at each interval (video post) - 18","Lifetime Percentage of auto-played viewers at each interval (video post) - 19","Lifetime Percentage of auto-played viewers at each interval (video post) - 20","Lifetime Percentage of auto-played viewers at each interval (video post) - 21","Lifetime Percentage of auto-played viewers at each interval (video post) - 22","Lifetime Percentage of auto-played viewers at each interval (video post) - 23","Lifetime Percentage of auto-played viewers at each interval (video post) - 24","Lifetime Percentage of auto-played viewers at each interval (video post) - 25","Lifetime Percentage of auto-played viewers at each interval (video post) - 26","Lifetime Percentage of auto-played viewers at each interval (video post) - 27","Lifetime Percentage of auto-played viewers at each interval (video post) - 28","Lifetime Percentage of auto-played viewers at each interval (video post) - 29","Lifetime Percentage of auto-played viewers at each interval (video post) - 30","Lifetime Percentage of auto-played viewers at each interval (video post) - 31","Lifetime Percentage of auto-played viewers at each interval (video post) - 32","Lifetime Percentage of auto-played viewers at each interval (video post) - 33","Lifetime Percentage of auto-played viewers at each interval (video post) - 34","Lifetime Percentage of auto-played viewers at each interval (video post) - 35","Lifetime Percentage of auto-played viewers at each interval (video post) - 36","Lifetime Percentage of auto-played viewers at each interval (video post) - 37","Lifetime Percentage of auto-played viewers at each interval (video post) - 38","Lifetime Percentage of auto-played viewers at each interval (video post) - 39","Lifetime Percentage of auto-played viewers at each interval (video post) - 40","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 0","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 1","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 2","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 3","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 4","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 5","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 6","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 7","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 8","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 9","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 10","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 11","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 12","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 13","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 14","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 15","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 16","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 17","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 18","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 19","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 20","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 21","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 22","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 23","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 24","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 25","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 26","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 27","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 28","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 29","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 30","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 31","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 32","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 33","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 34","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 35","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 36","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 37","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 38","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 39","Lifetime Percentage of viewers clicked-to-play at each interval (video post) - 40","Lifetime Post Consumptions by type - link clicks","Lifetime Post Consumptions by type - other clicks","Lifetime Post Consumptions by type - video play","Lifetime Post consumers by type - link clicks","Lifetime Post consumers by type - other clicks","Lifetime Post consumers by type - video play","Lifetime Post Stories by action type - comment","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - share","Lifetime Talking About This (Post) by action type - comment","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - share"
,,,,,,,,,"Lifetime: The number of impressions of your Page post. (Total Count)","Lifetime: The number of impressions of your Page post in an Ad or Sponsored Story. (Total Count)","Lifetime: The number of impressions of your post in News Feed or ticker or on your Page's Timeline. (Total Count)","Lifetime: Total number of times your video was viewed for more than 3 seconds. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Total number of times your video was viewed for 30 seconds or viewed to the end, whichever came first. (Total Count)","Lifetime: Number of times your video was viewed for 30 seconds or viewed to the end, whichever came first, after a paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for 30 seconds or viewed to the end, whichever came first, without a paid promotion. (Total Count)","Lifetime: Total number of times your video was viewed to 95% of its length. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: The total number of people your Page post was served to. (Unique Users)","Lifetime: Number of unique people who viewed your video for more than 3 seconds. (Unique Users)","Lifetime: Number of unique people who viewed your video for 30 seconds or to the end, whichever came first. (Unique Users)","Lifetime: Number of unique people who viewed your video to 95% of its length. (Unique Users)","Lifetime: Number of times your video started automatically playing and people viewed it for more than 3 seconds. (Total Count)","Lifetime: Number of times people clicked to play your video and viewed it more than 3 seconds. (Total Count)","Lifetime: Number of times your video started automatically playing and people viewed it for 30 seconds or to the end, whichever came first. (Total Count)","Lifetime: Number of times people clicked to play your video and viewed it for 30 seconds or to the end, whichever came first. (Total Count)","Lifetime: Number of times your video started automatically playing and people viewed it to 95% of its length. (Total Count)","Lifetime: Number of times people clicked to play your video and viewed it to 95% of its length. (Total Count)","Lifetime: Views of your video at each moment as a percentage of all views, including views shorter than 3 seconds. (video post) (Total Count)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lifetime: Auto-played views of your video at each moment as a percentage of all views, including views shorter than 3 seconds. (video post) (Total Count)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lifetime: Clicked-to-play views of your video at each moment as a percentage of all views, including views shorter than 3 seconds. (video post) (Total Count)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lifetime: The number of clicks anywhere in your post, by type. (Total Count)",,,"Lifetime: The number of people who clicked anywhere in your post, by type. (Unique Users)",,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,
518995791497187_928346750562087,https://www.facebook.com/VisualizationStudio/videos/928346750562087/,"Björn Thuresson on gaming as an educational tool at Crosstalks. Watch more: https://www.youtube.com/watch?v=Dr6Hn6p7rWQ",Video,,,"03/02/2015 12:50:47 AM"," "," ",2457,0,2457,280,0,280,87,0,87,59,0,59,776,230,84,59,254,26,64,23,42,17,1,0.544,0.4029,0.3315,0.2747,0.2564,0.2308,0.2143,0.1996,0.1886,0.1832,0.1703,0.1648,0.1593,0.1538,0.1484,0.1447,0.1392,0.1355,0.1337,0.13,0.13,0.1282,0.1264,0.1227,0.1227,0.1172,0.1172,0.1154,0.1117,0.1117,0.1117,0.1117,0.1062,0.1044,0.1044,0.1062,0.1062,0.1081,0.1044,0.0879,1,0.5173,0.375,0.3,0.2404,0.2212,0.1962,0.1788,0.1635,0.1519,0.1462,0.1346,0.1308,0.125,0.1212,0.1173,0.1135,0.1077,0.1038,0.1038,0.1,0.1,0.1,0.0981,0.0942,0.0942,0.0885,0.0885,0.0865,0.0846,0.0846,0.0846,0.0865,0.0808,0.0788,0.0788,0.0808,0.0808,0.0808,0.0769,0.0635,0.9286,1,0.8929,0.8929,0.8929,0.8929,0.8571,0.8571,0.8571,0.8571,0.8571,0.8214,0.7857,0.7857,0.75,0.7143,0.7143,0.7143,0.7143,0.6786,0.6786,0.6786,0.6429,0.6429,0.6429,0.6429,0.6429,0.6429,0.6429,0.6071,0.6071,0.6071,0.5714,0.5714,0.5714,0.5714,0.5714,0.5714,0.6071,0.6071,0.5357,5,62,44,4,46,38,,26,1,,22,1
518995791497187_962921163771312,https://www.facebook.com/VisualizationStudio/videos/962921163771312/,"Subject by subject, KTH Royal Institute of Technology continues to rise in the QS World University Rankings. In the rankings released today, KTH placed among the top 50 universities worldwide in five subjects. The QS ranks KTH among the top 100 universities in an additional five subjects. http://bit.ly/1bCKB2A",Video,,,"05/01/2015 10:35:25 AM"," "," ",1102,0,1102,163,0,163,47,0,47,28,0,28,456,134,43,28,157,6,42,5,23,5,1,0.6126,0.4437,0.351,0.3278,0.3046,0.2748,0.245,0.2318,0.202,0.1854,0.1722,0.1556,0.149,0.1424,0.1325,0.1325,0.1258,0.1258,0.1192,0.1192,0.1159,0.1093,0.1093,0.1093,0.106,0.106,0.1026,0.106,0.1026,0.0993,0.096,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0894,1,0.6047,0.4324,0.3378,0.3142,0.2905,0.2601,0.2297,0.2162,0.1892,0.1723,0.1588,0.1419,0.1351,0.1284,0.1182,0.1182,0.1115,0.1115,0.1047,0.1047,0.1014,0.0946,0.0946,0.0946,0.0912,0.0912,0.0878,0.0912,0.0878,0.0845,0.0811,0.0777,0.0777,0.0777,0.0777,0.0777,0.0777,0.0777,0.0777,0.0743,1,1,1,1,1,1,1,1,1,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,10,37,7,10,23,7,,13,3,,8,3
518995791497187_962273720502723,https://www.facebook.com/VisualizationStudio/videos/962273720502723/,"Professor Johan Hoffman's simulation of turbulent airflow past an aircraft. Together with Johan Jansson, Rodrigo Vilela De Abreu and Niclas Jansson. Happy Valborg!

http://www.csc.kth.se/~jhoffman/Johan_Hoffman_KTH/Home.html",Video,,,"04/30/2015 07:13:40 AM"," "," ",547,0,547,115,0,115,39,0,39,24,0,24,249,96,33,20,100,15,30,9,18,6,1,0.6108,0.4877,0.3941,0.3448,0.3054,0.2906,0.2857,0.266,0.2414,0.2266,0.2365,0.2217,0.2118,0.1872,0.1872,0.1626,0.1626,0.1527,0.1429,0.1429,0.1576,0.1527,0.1429,0.1429,0.1478,0.1478,0.1576,0.1527,0.1429,0.1379,0.1478,0.133,0.1281,0.1281,0.1133,0.1281,0.1084,0.1182,0.1232,0.1034,1,0.5775,0.4545,0.3529,0.3048,0.2727,0.2513,0.2513,0.2246,0.2032,0.1925,0.1925,0.1872,0.1818,0.1658,0.1658,0.1444,0.1444,0.1337,0.123,0.123,0.1283,0.123,0.1176,0.1123,0.1123,0.1123,0.123,0.1123,0.107,0.107,0.1176,0.1176,0.1123,0.1123,0.0963,0.1123,0.0963,0.0963,0.1016,0.0909,1,1,0.875,0.875,0.8125,0.6875,0.75,0.6875,0.75,0.6875,0.625,0.75,0.625,0.5625,0.4375,0.4375,0.375,0.375,0.375,0.375,0.375,0.5,0.5,0.4375,0.5,0.5625,0.5625,0.5625,0.625,0.5625,0.5,0.5,0.3125,0.3125,0.3125,0.3125,0.3125,0.25,0.375,0.375,0.25,3,17,23,3,14,16,1,9,,1,8,
